,basis_bps
count,2419019.0
mean,27.076072076227003
std,74.71566311875284
min,-89.77051057796002
50%,10.317217551982912
90%,147.35970054159137
95%,206.60313277584777
99%,206.60313277584777
max,206.60313277584777
